use,name,description,variableslink
,B07403PR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY SEX FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,https://api.census.gov/data/2019/acs/acs5/groups/B07403PR.json
,B07404A,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (WHITE ALONE) FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,https://api.census.gov/data/2019/acs/acs5/groups/B07404A.json
,B07404APR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (WHITE ALONE) FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,https://api.census.gov/data/2019/acs/acs5/groups/B07404APR.json
,B07404B,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (BLACK OR AFRICAN AMERICAN ALONE) FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,https://api.census.gov/data/2019/acs/acs5/groups/B07404B.json
,B07404BPR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (BLACK OR AFRICAN AMERICAN ALONE) FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,https://api.census.gov/data/2019/acs/acs5/groups/B07404BPR.json
,B07404C,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (AMERICAN INDIAN AND ALASKA NATIVE ALONE) FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,https://api.census.gov/data/2019/acs/acs5/groups/B07404C.json
,B07404CPR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (AMERICAN INDIAN AND ALASKA NATIVE ALONE) FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,https://api.census.gov/data/2019/acs/acs5/groups/B07404CPR.json
,B07404D,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (ASIAN ALONE) FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,https://api.census.gov/data/2019/acs/acs5/groups/B07404D.json
,B07404DPR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (ASIAN ALONE) FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,https://api.census.gov/data/2019/acs/acs5/groups/B07404DPR.json
,B07404E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE) FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,https://api.census.gov/data/2019/acs/acs5/groups/B07404E.json
,B07404EPR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE) FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,https://api.census.gov/data/2019/acs/acs5/groups/B07404EPR.json
,B07404F,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (SOME OTHER RACE ALONE) FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,https://api.census.gov/data/2019/acs/acs5/groups/B07404F.json
,B07404FPR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (SOME OTHER RACE ALONE) FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,https://api.census.gov/data/2019/acs/acs5/groups/B07404FPR.json
,B07404G,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (TWO OR MORE RACES) FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,https://api.census.gov/data/2019/acs/acs5/groups/B07404G.json
,B07404GPR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (TWO OR MORE RACES) FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,https://api.census.gov/data/2019/acs/acs5/groups/B07404GPR.json
,B07404H,"GEOGRAPHICAL MOBILITY IN THE PAST YEAR (WHITE ALONE, NOT HISPANIC OR LATINO) FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES",https://api.census.gov/data/2019/acs/acs5/groups/B07404H.json
,B07404HPR,"GEOGRAPHICAL MOBILITY IN THE PAST YEAR (WHITE ALONE, NOT HISPANIC OR LATINO) FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO",https://api.census.gov/data/2019/acs/acs5/groups/B07404HPR.json
,B07404I,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (HISPANIC OR LATINO) FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,https://api.census.gov/data/2019/acs/acs5/groups/B07404I.json
,B07404IPR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (HISPANIC OR LATINO) FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,https://api.census.gov/data/2019/acs/acs5/groups/B07404IPR.json
,B07407,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY CITIZENSHIP STATUS FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,https://api.census.gov/data/2019/acs/acs5/groups/B07407.json
,B07407PR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY CITIZENSHIP STATUS FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,https://api.census.gov/data/2019/acs/acs5/groups/B07407PR.json
,B07408,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY MARITAL STATUS FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,https://api.census.gov/data/2019/acs/acs5/groups/B07408.json
,B07408PR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY MARITAL STATUS FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,https://api.census.gov/data/2019/acs/acs5/groups/B07408PR.json
,B07409,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY EDUCATIONAL ATTAINMENT FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,https://api.census.gov/data/2019/acs/acs5/groups/B07409.json
,B07409PR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY EDUCATIONAL ATTAINMENT FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,https://api.census.gov/data/2019/acs/acs5/groups/B07409PR.json
,B07410,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,https://api.census.gov/data/2019/acs/acs5/groups/B07410.json
,B07410PR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,https://api.census.gov/data/2019/acs/acs5/groups/B07410PR.json
,B07411,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,https://api.census.gov/data/2019/acs/acs5/groups/B07411.json
,B07411PR,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,https://api.census.gov/data/2019/acs/acs5/groups/B07411PR.json
,B07412,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY POVERTY STATUS IN THE PAST 12 MONTHS FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,https://api.census.gov/data/2019/acs/acs5/groups/B07412.json
,B07412PR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY POVERTY STATUS IN THE PAST 12 MONTHS FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,https://api.census.gov/data/2019/acs/acs5/groups/B07412PR.json
,B07413,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY TENURE FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,https://api.census.gov/data/2019/acs/acs5/groups/B07413.json
,B07413PR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY TENURE FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,https://api.census.gov/data/2019/acs/acs5/groups/B07413PR.json
,B08006,SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK,https://api.census.gov/data/2019/acs/acs5/groups/B08006.json
,B08007,SEX OF WORKERS BY PLACE OF WORK--STATE AND COUNTY LEVEL,https://api.census.gov/data/2019/acs/acs5/groups/B08007.json
,B08008,SEX OF WORKERS BY PLACE OF WORK--PLACE LEVEL,https://api.census.gov/data/2019/acs/acs5/groups/B08008.json
,B08009,"SEX OF WORKERS BY PLACE OF WORK--MINOR CIVIL DIVISION LEVEL FOR 12 SELECTED STATES (CT, ME, MA, MI, MN, NH, NJ, NY, PA, RI, VT, WI)",https://api.census.gov/data/2019/acs/acs5/groups/B08009.json
,B08011,SEX OF WORKERS BY TIME OF DEPARTURE TO GO TO WORK,https://api.census.gov/data/2019/acs/acs5/groups/B08011.json
,B08012,SEX OF WORKERS BY TRAVEL TIME TO WORK,https://api.census.gov/data/2019/acs/acs5/groups/B08012.json
,B08013,AGGREGATE TRAVEL TIME TO WORK (IN MINUTES) OF WORKERS BY SEX,https://api.census.gov/data/2019/acs/acs5/groups/B08013.json
,B08014,SEX OF WORKERS BY VEHICLES AVAILABLE,https://api.census.gov/data/2019/acs/acs5/groups/B08014.json
,B08015,"AGGREGATE NUMBER OF VEHICLES (CAR, TRUCK, OR VAN) USED IN COMMUTING BY WORKERS 16 YEARS AND OVER BY SEX",https://api.census.gov/data/2019/acs/acs5/groups/B08015.json
,B08016,PLACE OF WORK FOR WORKERS 16 YEARS AND OVER--METROPOLITAN STATISTICAL AREA LEVEL,https://api.census.gov/data/2019/acs/acs5/groups/B08016.json
,B08017,PLACE OF WORK FOR WORKERS 16 YEARS AND OVER--MICROPOLITAN STATISTICAL AREA LEVEL,https://api.census.gov/data/2019/acs/acs5/groups/B08017.json
,B08018,PLACE OF WORK FOR WORKERS 16 YEARS AND OVER--NOT METROPOLITAN OR MICROPOLITAN STATISTICAL AREA LEVEL,https://api.census.gov/data/2019/acs/acs5/groups/B08018.json
,B08101,MEANS OF TRANSPORTATION TO WORK BY AGE,https://api.census.gov/data/2019/acs/acs5/groups/B08101.json
,B08103,MEDIAN AGE BY MEANS OF TRANSPORTATION TO WORK,https://api.census.gov/data/2019/acs/acs5/groups/B08103.json
,B08105A,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B08105A.json
,B08105B,MEANS OF TRANSPORTATION TO WORK (BLACK OR AFRICAN AMERICAN ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B08105B.json
,B08105C,MEANS OF TRANSPORTATION TO WORK (AMERICAN INDIAN AND ALASKA NATIVE ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B08105C.json
,B08105D,MEANS OF TRANSPORTATION TO WORK (ASIAN ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B08105D.json
,B08105E,MEANS OF TRANSPORTATION TO WORK (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B08105E.json
,B08105F,MEANS OF TRANSPORTATION TO WORK (SOME OTHER RACE ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B08105F.json
,B08105G,MEANS OF TRANSPORTATION TO WORK (TWO OR MORE RACES),https://api.census.gov/data/2019/acs/acs5/groups/B08105G.json
,B08105H,"MEANS OF TRANSPORTATION TO WORK (WHITE ALONE, NOT HISPANIC OR LATINO)",https://api.census.gov/data/2019/acs/acs5/groups/B08105H.json
,B08105I,MEANS OF TRANSPORTATION TO WORK (HISPANIC OR LATINO),https://api.census.gov/data/2019/acs/acs5/groups/B08105I.json
,B08111,MEANS OF TRANSPORTATION TO WORK BY CITIZENSHIP STATUS,https://api.census.gov/data/2019/acs/acs5/groups/B08111.json
,B08113,MEANS OF TRANSPORTATION TO WORK BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH,https://api.census.gov/data/2019/acs/acs5/groups/B08113.json
,B08119,MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),https://api.census.gov/data/2019/acs/acs5/groups/B08119.json
,B08121,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) BY MEANS OF TRANSPORTATION TO WORK,https://api.census.gov/data/2019/acs/acs5/groups/B08121.json
,B08122,MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS,https://api.census.gov/data/2019/acs/acs5/groups/B08122.json
,B08124,MEANS OF TRANSPORTATION TO WORK BY OCCUPATION,https://api.census.gov/data/2019/acs/acs5/groups/B08124.json
,B08126,MEANS OF TRANSPORTATION TO WORK BY INDUSTRY,https://api.census.gov/data/2019/acs/acs5/groups/B08126.json
,B08128,MEANS OF TRANSPORTATION TO WORK BY CLASS OF WORKER,https://api.census.gov/data/2019/acs/acs5/groups/B08128.json
,B08130,MEANS OF TRANSPORTATION TO WORK BY PLACE OF WORK--STATE AND COUNTY LEVEL,https://api.census.gov/data/2019/acs/acs5/groups/B08130.json
,B08131,AGGREGATE TRAVEL TIME TO WORK (IN MINUTES) OF WORKERS BY PLACE OF WORK--STATE AND COUNTY LEVEL,https://api.census.gov/data/2019/acs/acs5/groups/B08131.json
,B08132,MEANS OF TRANSPORTATION TO WORK BY TIME OF DEPARTURE TO GO TO WORK,https://api.census.gov/data/2019/acs/acs5/groups/B08132.json
,B08133,AGGREGATE TRAVEL TIME TO WORK (IN MINUTES) OF WORKERS BY TIME OF DEPARTURE TO GO TO WORK,https://api.census.gov/data/2019/acs/acs5/groups/B08133.json
,B08134,MEANS OF TRANSPORTATION TO WORK BY TRAVEL TIME TO WORK,https://api.census.gov/data/2019/acs/acs5/groups/B08134.json
,B08135,AGGREGATE TRAVEL TIME TO WORK (IN MINUTES) OF WORKERS BY TRAVEL TIME TO WORK,https://api.census.gov/data/2019/acs/acs5/groups/B08135.json
,B08136,AGGREGATE TRAVEL TIME TO WORK (IN MINUTES) OF WORKERS BY MEANS OF TRANSPORTATION TO WORK,https://api.census.gov/data/2019/acs/acs5/groups/B08136.json
,B08137,MEANS OF TRANSPORTATION TO WORK BY TENURE,https://api.census.gov/data/2019/acs/acs5/groups/B08137.json
,B08141,MEANS OF TRANSPORTATION TO WORK BY VEHICLES AVAILABLE,https://api.census.gov/data/2019/acs/acs5/groups/B08141.json
,B08201,HOUSEHOLD SIZE BY VEHICLES AVAILABLE,https://api.census.gov/data/2019/acs/acs5/groups/B08201.json
,B08202,HOUSEHOLD SIZE BY NUMBER OF WORKERS IN HOUSEHOLD,https://api.census.gov/data/2019/acs/acs5/groups/B08202.json
,B08203,NUMBER OF WORKERS IN HOUSEHOLD BY VEHICLES AVAILABLE,https://api.census.gov/data/2019/acs/acs5/groups/B08203.json
y,B08301,MEANS OF TRANSPORTATION TO WORK,https://api.census.gov/data/2019/acs/acs5/groups/B08301.json
,B08302,TIME OF DEPARTURE TO GO TO WORK,https://api.census.gov/data/2019/acs/acs5/groups/B08302.json
y,B08303,TRAVEL TIME TO WORK,https://api.census.gov/data/2019/acs/acs5/groups/B08303.json
,B08406,SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY,https://api.census.gov/data/2019/acs/acs5/groups/B08406.json
,B08412,SEX OF WORKERS BY TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY,https://api.census.gov/data/2019/acs/acs5/groups/B08412.json
,B08501,MEANS OF TRANSPORTATION TO WORK BY AGE FOR WORKPLACE GEOGRAPHY,https://api.census.gov/data/2019/acs/acs5/groups/B08501.json
,B08503,MEDIAN AGE BY MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY,https://api.census.gov/data/2019/acs/acs5/groups/B08503.json
,B08505A,MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY (WHITE ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B08505A.json
,B08505B,MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY (BLACK OR AFRICAN AMERICAN ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B08505B.json
,B08505C,MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY (AMERICAN INDIAN AND ALASKA NATIVE ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B08505C.json
,B08505D,MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY (ASIAN ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B08505D.json
,B08505E,MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B08505E.json
,B08505F,MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY (SOME OTHER RACE ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B08505F.json
,B08505G,MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY (TWO OR MORE RACES),https://api.census.gov/data/2019/acs/acs5/groups/B08505G.json
,B08505H,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY (WHITE ALONE, NOT HISPANIC OR LATINO)",https://api.census.gov/data/2019/acs/acs5/groups/B08505H.json
,B08505I,MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY (HISPANIC OR LATINO),https://api.census.gov/data/2019/acs/acs5/groups/B08505I.json
,B08511,MEANS OF TRANSPORTATION TO WORK BY CITIZENSHIP STATUS FOR WORKPLACE GEOGRAPHY,https://api.census.gov/data/2019/acs/acs5/groups/B08511.json
,B08513,MEANS OF TRANSPORTATION TO WORK BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR WORKPLACE GEOGRAPHY,https://api.census.gov/data/2019/acs/acs5/groups/B08513.json
,B08519,MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR WORKPLACE GEOGRAPHY,https://api.census.gov/data/2019/acs/acs5/groups/B08519.json
,B08521,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) BY MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY,https://api.census.gov/data/2019/acs/acs5/groups/B08521.json
,B08522,MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS FOR WORKPLACE GEOGRAPHY,https://api.census.gov/data/2019/acs/acs5/groups/B08522.json
,B08524,MEANS OF TRANSPORTATION TO WORK BY OCCUPATION FOR WORKPLACE GEOGRAPHY,https://api.census.gov/data/2019/acs/acs5/groups/B08524.json
,B08526,MEANS OF TRANSPORTATION TO WORK BY INDUSTRY FOR WORKPLACE GEOGRAPHY,https://api.census.gov/data/2019/acs/acs5/groups/B08526.json
,B08528,MEANS OF TRANSPORTATION TO WORK BY CLASS OF WORKER FOR WORKPLACE GEOGRAPHY,https://api.census.gov/data/2019/acs/acs5/groups/B08528.json
,B08532,MEANS OF TRANSPORTATION TO WORK BY TIME ARRIVING AT WORK FOR WORKPLACE GEOGRAPHY,https://api.census.gov/data/2019/acs/acs5/groups/B08532.json
,B08534,MEANS OF TRANSPORTATION TO WORK BY TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY,https://api.census.gov/data/2019/acs/acs5/groups/B08534.json
,B08536,AGGREGATE TRAVEL TIME TO WORK (IN MINUTES) OF WORKERS BY MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY,https://api.census.gov/data/2019/acs/acs5/groups/B08536.json
,B08537,MEANS OF TRANSPORTATION TO WORK BY TENURE FOR WORKPLACE GEOGRAPHY,https://api.census.gov/data/2019/acs/acs5/groups/B08537.json
,B08541,MEANS OF TRANSPORTATION TO WORK BY VEHICLES AVAILABLE FOR WORKPLACE GEOGRAPHY,https://api.census.gov/data/2019/acs/acs5/groups/B08541.json
,B08601,MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY,https://api.census.gov/data/2019/acs/acs5/groups/B08601.json
,B08602,TIME ARRIVING AT WORK FOR WORKPLACE GEOGRAPHY,https://api.census.gov/data/2019/acs/acs5/groups/B08602.json
,B08603,TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY,https://api.census.gov/data/2019/acs/acs5/groups/B08603.json
,B08604,WORKER POPULATION FOR WORKPLACE GEOGRAPHY,https://api.census.gov/data/2019/acs/acs5/groups/B08604.json
,B09001,POPULATION UNDER 18 YEARS BY AGE,https://api.census.gov/data/2019/acs/acs5/groups/B09001.json
,B09002,OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE,https://api.census.gov/data/2019/acs/acs5/groups/B09002.json
,B09005,"HOUSEHOLD TYPE FOR CHILDREN UNDER 18 YEARS IN HOUSEHOLDS (EXCLUDING HOUSEHOLDERS, SPOUSES, AND UNMARRIED PARTNERS)",https://api.census.gov/data/2019/acs/acs5/groups/B09005.json
,B09010,"RECEIPT OF SUPPLEMENTAL SECURITY INCOME (SSI), CASH PUBLIC ASSISTANCE INCOME, OR FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY HOUSEHOLD TYPE FOR CHILDREN UNDER 18 YEARS IN HOUSEHOLDS",https://api.census.gov/data/2019/acs/acs5/groups/B09010.json
,B09018,RELATIONSHIP TO HOUSEHOLDER FOR CHILDREN UNDER 18 YEARS IN HOUSEHOLDS,https://api.census.gov/data/2019/acs/acs5/groups/B09018.json
,B09019,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP,https://api.census.gov/data/2019/acs/acs5/groups/B09019.json
,B09020,RELATIONSHIP BY HOUSEHOLD TYPE (INCLUDING LIVING ALONE) FOR THE POPULATION 65 YEARS AND OVER,https://api.census.gov/data/2019/acs/acs5/groups/B09020.json
,B09021,LIVING ARRANGEMENTS OF ADULTS 18 YEARS AND OVER BY AGE,https://api.census.gov/data/2019/acs/acs5/groups/B09021.json
,B10001,GRANDCHILDREN UNDER 18 YEARS LIVING WITH A GRANDPARENT HOUSEHOLDER BY AGE OF GRANDCHILD,https://api.census.gov/data/2019/acs/acs5/groups/B10001.json
,B10002,GRANDCHILDREN UNDER 18 YEARS LIVING WITH A GRANDPARENT HOUSEHOLDER BY GRANDPARENT RESPONSIBILITY AND PRESENCE OF PARENT,https://api.census.gov/data/2019/acs/acs5/groups/B10002.json
,B10010,MEDIAN FAMILY INCOME FOR FAMILIES WITH GRANDPARENT HOUSEHOLDERS AND/OR SPOUSES LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND PRESENCE OF PARENT OF GRANDCHILDREN,https://api.census.gov/data/2019/acs/acs5/groups/B10010.json
,B10050,GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN BY LENGTH OF TIME RESPONSIBLE FOR OWN GRANDCHILDREN FOR THE POPULATION 30 YEARS AND OVER,https://api.census.gov/data/2019/acs/acs5/groups/B10050.json
,B10051,GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN BY PRESENCE OF PARENT OF GRANDCHILDREN AND AGE OF GRANDPARENT,https://api.census.gov/data/2019/acs/acs5/groups/B10051.json
,B10051A,GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT (WHITE ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B10051A.json
,B10051B,GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT (BLACK OR AFRICAN AMERICAN ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B10051B.json
,B10051C,GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT (AMERICAN INDIAN AND ALASKA NATIVE ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B10051C.json
,B10051D,GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT (ASIAN ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B10051D.json
,B10051E,GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B10051E.json
,B10051F,GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT (SOME OTHER RACE ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B10051F.json
,B10051G,GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT (TWO OR MORE RACES),https://api.census.gov/data/2019/acs/acs5/groups/B10051G.json
,B10051H,"GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT (WHITE ALONE, NOT HISPANIC OR LATINO)",https://api.census.gov/data/2019/acs/acs5/groups/B10051H.json
,B10051I,GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT (HISPANIC OR LATINO),https://api.census.gov/data/2019/acs/acs5/groups/B10051I.json
,B10052,DISABILITY STATUS OF GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT,https://api.census.gov/data/2019/acs/acs5/groups/B10052.json
,B10053,NATIVITY BY GRANDPARENTS RESPONSIBLE FOR OWN GRANDCHILDREN UNDER 18 YEARS BY AGE OF GRANDPARENT,https://api.census.gov/data/2019/acs/acs5/groups/B10053.json
,B10054,LANGUAGE AND ABILITY TO SPEAK ENGLISH OF GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT,https://api.census.gov/data/2019/acs/acs5/groups/B10054.json
,B10056,SEX OF GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT,https://api.census.gov/data/2019/acs/acs5/groups/B10056.json
,B10057,MARITAL STATUS BY GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT,https://api.census.gov/data/2019/acs/acs5/groups/B10057.json
,B10058,EMPLOYMENT STATUS OF GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT,https://api.census.gov/data/2019/acs/acs5/groups/B10058.json
,B10059,POVERTY STATUS IN THE PAST 12 MONTHS OF GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT,https://api.census.gov/data/2019/acs/acs5/groups/B10059.json
