variableid,label,concept,groupid
B08301_013E,Public transportation (excluding taxicab)!!Long-distance train or commuter rail,MEANS OF TRANSPORTATION TO WORK,B08301
B08301_016E,Taxicab,MEANS OF TRANSPORTATION TO WORK,B08301
B08303_011E,45 to 59 minutes,TRAVEL TIME TO WORK,B08303
B08303_002E,Less than 5 minutes,TRAVEL TIME TO WORK,B08303
B08303_013E,90 or more minutes,TRAVEL TIME TO WORK,B08303
B08303_010E,40 to 44 minutes,TRAVEL TIME TO WORK,B08303
B08303_005E,15 to 19 minutes,TRAVEL TIME TO WORK,B08303
B08303_006E,20 to 24 minutes,TRAVEL TIME TO WORK,B08303
B08303_007E,25 to 29 minutes,TRAVEL TIME TO WORK,B08303
B08303_009E,35 to 39 minutes,TRAVEL TIME TO WORK,B08303
B08303_003E,5 to 9 minutes,TRAVEL TIME TO WORK,B08303
B08303_001E,Total,TRAVEL TIME TO WORK,B08303
B08303_004E,10 to 14 minutes,TRAVEL TIME TO WORK,B08303
B08303_012E,60 to 89 minutes,TRAVEL TIME TO WORK,B08303
B08303_008E,30 to 34 minutes,TRAVEL TIME TO WORK,B08303
B08603_007E,25 to 29 minutes,TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY,B08603
B08603_002E,Less than 5 minutes,TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY,B08603
B08603_009E,35 to 39 minutes,TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY,B08603
B08603_013E,90 or more minutes,TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY,B08603
B08603_004E,10 to 14 minutes,TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY,B08603
B08603_011E,45 to 59 minutes,TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY,B08603
B08603_008E,30 to 34 minutes,TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY,B08603
B08603_003E,5 to 9 minutes,TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY,B08603
B08603_001E,Total,TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY,B08603
B08603_005E,15 to 19 minutes,TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY,B08603
B08603_012E,60 to 89 minutes,TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY,B08603
B08603_010E,40 to 44 minutes,TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY,B08603
B08603_006E,20 to 24 minutes,TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY,B08603
B09001_001E,Total,POPULATION UNDER 18 YEARS BY AGE,B09001
B09001_007E,In households!!9 to 11 years,POPULATION UNDER 18 YEARS BY AGE,B09001
B09001_008E,In households!!12 to 14 years,POPULATION UNDER 18 YEARS BY AGE,B09001
B09001_004E,In households!!3 and 4 years,POPULATION UNDER 18 YEARS BY AGE,B09001
B09001_003E,In households!!Under 3 years,POPULATION UNDER 18 YEARS BY AGE,B09001
B09001_010E,In group quarters,POPULATION UNDER 18 YEARS BY AGE,B09001
B09001_005E,In households!!5 years,POPULATION UNDER 18 YEARS BY AGE,B09001
B09001_006E,In households!!6 to 8 years,POPULATION UNDER 18 YEARS BY AGE,B09001
B09001_002E,In households,POPULATION UNDER 18 YEARS BY AGE,B09001
B09001_009E,In households!!15 to 17 years,POPULATION UNDER 18 YEARS BY AGE,B09001
B09002_015E,"In other families!!Female householder, no spouse present",OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE,B09002
B09002_010E,"In other families!!Male householder, no spouse present!!Under 3 years",OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE,B09002
B09002_012E,"In other families!!Male householder, no spouse present!!5 years",OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE,B09002
B09002_009E,"In other families!!Male householder, no spouse present",OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE,B09002
B09002_008E,In other families,OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE,B09002
B09002_003E,In married-couple families!!Under 3 years,OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE,B09002
B09002_017E,"In other families!!Female householder, no spouse present!!3 and 4 years",OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE,B09002
B09002_018E,"In other families!!Female householder, no spouse present!!5 years",OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE,B09002
B09002_005E,In married-couple families!!5 years,OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE,B09002
B09002_013E,"In other families!!Male householder, no spouse present!!6 to 11 years",OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE,B09002
B09002_007E,In married-couple families!!12 to 17 years,OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE,B09002
B09002_011E,"In other families!!Male householder, no spouse present!!3 and 4 years",OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE,B09002
B09002_014E,"In other families!!Male householder, no spouse present!!12 to 17 years",OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE,B09002
B09002_004E,In married-couple families!!3 and 4 years,OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE,B09002
B09002_016E,"In other families!!Female householder, no spouse present!!Under 3 years",OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE,B09002
B09002_020E,"In other families!!Female householder, no spouse present!!12 to 17 years",OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE,B09002
B09002_006E,In married-couple families!!6 to 11 years,OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE,B09002
B09002_001E,Total,OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE,B09002
B09002_002E,In married-couple families,OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE,B09002
B09002_019E,"In other families!!Female householder, no spouse present!!6 to 11 years",OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE,B09002
B11012_001E,Total,HOUSEHOLDS BY TYPE,B11012
B11012_016E,"Male householder, no spouse or partner present!!With relatives, no own children under 18 years",HOUSEHOLDS BY TYPE,B11012
B11012_010E,"Female householder, no spouse or partner present!!With own children under 18 years",HOUSEHOLDS BY TYPE,B11012
B11012_009E,"Female householder, no spouse or partner present!!Living alone",HOUSEHOLDS BY TYPE,B11012
B11012_011E,"Female householder, no spouse or partner present!!With relatives, no own children under 18 years",HOUSEHOLDS BY TYPE,B11012
B11012_005E,Cohabiting couple household,HOUSEHOLDS BY TYPE,B11012
B11012_002E,Married-couple household,HOUSEHOLDS BY TYPE,B11012
B11012_004E,Married-couple household!!With no own children under 18 years,HOUSEHOLDS BY TYPE,B11012
B11012_007E,Cohabiting couple household!!With no own children of the householder under 18 years,HOUSEHOLDS BY TYPE,B11012
B11012_013E,"Male householder, no spouse or partner present",HOUSEHOLDS BY TYPE,B11012
B11012_017E,"Male householder, no spouse or partner present!!With only nonrelatives present",HOUSEHOLDS BY TYPE,B11012
B11012_015E,"Male householder, no spouse or partner present!!With own children under 18 years",HOUSEHOLDS BY TYPE,B11012
B11012_003E,Married-couple household!!With own children under 18 years,HOUSEHOLDS BY TYPE,B11012
B11012_006E,Cohabiting couple household!!With own children of the householder under 18 years,HOUSEHOLDS BY TYPE,B11012
B11012_008E,"Female householder, no spouse or partner present",HOUSEHOLDS BY TYPE,B11012
B11012_012E,"Female householder, no spouse or partner present!!With only nonrelatives present",HOUSEHOLDS BY TYPE,B11012
B11012_014E,"Male householder, no spouse or partner present!!Living alone",HOUSEHOLDS BY TYPE,B11012
B14001_008E,"Enrolled in school!!Enrolled in college, undergraduate years",SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER,B14001
B14001_006E,Enrolled in school!!Enrolled in grade 5 to grade 8,SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER,B14001
B14001_007E,Enrolled in school!!Enrolled in grade 9 to grade 12,SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER,B14001
B14001_003E,"Enrolled in school!!Enrolled in nursery school, preschool",SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER,B14001
B14001_009E,Enrolled in school!!Graduate or professional school,SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER,B14001
B14001_002E,Enrolled in school,SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER,B14001
B14001_005E,Enrolled in school!!Enrolled in grade 1 to grade 4,SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER,B14001
B14001_010E,Not enrolled in school,SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER,B14001
B14001_001E,Total,SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER,B14001
B14001_004E,Enrolled in school!!Enrolled in kindergarten,SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER,B14001
B14007_001E,Total,SCHOOL ENROLLMENT BY DETAILED  LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER,B14007
B14007_005E,Enrolled in school!!Enrolled in grade 1,SCHOOL ENROLLMENT BY DETAILED  LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER,B14007
B14007_008E,Enrolled in school!!Enrolled in grade 4,SCHOOL ENROLLMENT BY DETAILED  LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER,B14007
B14007_007E,Enrolled in school!!Enrolled in grade 3,SCHOOL ENROLLMENT BY DETAILED  LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER,B14007
B14007_018E,Enrolled in school!!Graduate or professional school,SCHOOL ENROLLMENT BY DETAILED  LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER,B14007
B14007_006E,Enrolled in school!!Enrolled in grade 2,SCHOOL ENROLLMENT BY DETAILED  LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER,B14007
B14007_015E,Enrolled in school!!Enrolled in grade 11,SCHOOL ENROLLMENT BY DETAILED  LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER,B14007
B14007_019E,Not enrolled in school,SCHOOL ENROLLMENT BY DETAILED  LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER,B14007
B14007_014E,Enrolled in school!!Enrolled in grade 10,SCHOOL ENROLLMENT BY DETAILED  LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER,B14007
B14007_017E,"Enrolled in school!!Enrolled in college, undergraduate years",SCHOOL ENROLLMENT BY DETAILED  LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER,B14007
B14007_013E,Enrolled in school!!Enrolled in grade 9,SCHOOL ENROLLMENT BY DETAILED  LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER,B14007
B14007_011E,Enrolled in school!!Enrolled in grade 7,SCHOOL ENROLLMENT BY DETAILED  LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER,B14007
B14007_003E,"Enrolled in school!!Enrolled in nursery school, preschool",SCHOOL ENROLLMENT BY DETAILED  LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER,B14007
B14007_009E,Enrolled in school!!Enrolled in grade 5,SCHOOL ENROLLMENT BY DETAILED  LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER,B14007
B14007_010E,Enrolled in school!!Enrolled in grade 6,SCHOOL ENROLLMENT BY DETAILED  LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER,B14007
B14007_002E,Enrolled in school,SCHOOL ENROLLMENT BY DETAILED  LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER,B14007
B14007_016E,Enrolled in school!!Enrolled in grade 12,SCHOOL ENROLLMENT BY DETAILED  LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER,B14007
B14007_004E,Enrolled in school!!Enrolled in kindergarten,SCHOOL ENROLLMENT BY DETAILED  LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER,B14007
B14007_012E,Enrolled in school!!Enrolled in grade 8,SCHOOL ENROLLMENT BY DETAILED  LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER,B14007
B15003_009E,5th grade,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,B15003
B15003_018E,GED or alternative credential,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,B15003
B15003_023E,Master's degree,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,B15003
B15003_008E,4th grade,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,B15003
B15003_006E,2nd grade,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,B15003
B15003_020E,"Some college, 1 or more years, no degree",EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,B15003
B15003_002E,No schooling completed,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,B15003
B15003_021E,Associate's degree,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,B15003
B15003_007E,3rd grade,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,B15003
B15003_011E,7th grade,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,B15003
B15003_024E,Professional school degree,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,B15003
B15003_004E,Kindergarten,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,B15003
B15003_014E,10th grade,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,B15003
B15003_012E,8th grade,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,B15003
B15003_003E,Nursery school,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,B15003
B15003_005E,1st grade,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,B15003
B15003_010E,6th grade,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,B15003
B15003_015E,11th grade,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,B15003
B15003_016E,"12th grade, no diploma",EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,B15003
B15003_001E,Total,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,B15003
B15003_017E,Regular high school diploma,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,B15003
B15003_025E,Doctorate degree,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,B15003
B15003_019E,"Some college, less than 1 year",EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,B15003
B15003_022E,Bachelor's degree,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,B15003
B15003_013E,9th grade,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,B15003
B16008_049E,Foreign-born population!!Not a U.S. citizen!!18 years and over!!Speak Spanish!!Speak English very well,CITIZENSHIP STATUS BY AGE BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR THE POPULATION,B16008
B16008_017E,Native population!!18 years and over!!Speak other languages!!Speak English very well,CITIZENSHIP STATUS BY AGE BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR THE POPULATION,B16008
B16008_016E,Native population!!18 years and over!!Speak other languages,CITIZENSHIP STATUS BY AGE BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR THE POPULATION,B16008
B16008_004E,Native population!!5 to 17 years!!Speak only English,CITIZENSHIP STATUS BY AGE BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR THE POPULATION,B16008
B16008_046E,Foreign-born population!!Not a U.S. citizen!!18 years and over,CITIZENSHIP STATUS BY AGE BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR THE POPULATION,B16008
B16008_043E,Foreign-born population!!Not a U.S. citizen!!5 to 17 years!!Speak other languages,CITIZENSHIP STATUS BY AGE BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR THE POPULATION,B16008
B16008_028E,Foreign-born population!!Naturalized U.S. citizen!!5 to 17 years!!Speak other languages!!Speak English less than very well,CITIZENSHIP STATUS BY AGE BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR THE POPULATION,B16008
B16008_036E,Foreign-born population!!Naturalized U.S. citizen!!18 years and over!!Speak other languages!!Speak English less than very well,CITIZENSHIP STATUS BY AGE BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR THE POPULATION,B16008
B16008_001E,Total,CITIZENSHIP STATUS BY AGE BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR THE POPULATION,B16008
B16008_038E,Foreign-born population!!Not a U.S. citizen!!5 to 17 years,CITIZENSHIP STATUS BY AGE BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR THE POPULATION,B16008
B16008_023E,Foreign-born population!!Naturalized U.S. citizen!!5 to 17 years!!Speak Spanish,CITIZENSHIP STATUS BY AGE BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR THE POPULATION,B16008
B16008_011E,Native population!!18 years and over,CITIZENSHIP STATUS BY AGE BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR THE POPULATION,B16008
B16008_008E,Native population!!5 to 17 years!!Speak other languages,CITIZENSHIP STATUS BY AGE BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR THE POPULATION,B16008
B16008_019E,Foreign-born population,CITIZENSHIP STATUS BY AGE BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR THE POPULATION,B16008
B16008_040E,Foreign-born population!!Not a U.S. citizen!!5 to 17 years!!Speak Spanish,CITIZENSHIP STATUS BY AGE BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR THE POPULATION,B16008
B16008_037E,Foreign-born population!!Not a U.S. citizen,CITIZENSHIP STATUS BY AGE BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR THE POPULATION,B16008
B16008_007E,Native population!!5 to 17 years!!Speak Spanish!!Speak English less than very well,CITIZENSHIP STATUS BY AGE BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR THE POPULATION,B16008
B16008_026E,Foreign-born population!!Naturalized U.S. citizen!!5 to 17 years!!Speak other languages,CITIZENSHIP STATUS BY AGE BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR THE POPULATION,B16008
B16008_034E,Foreign-born population!!Naturalized U.S. citizen!!18 years and over!!Speak other languages,CITIZENSHIP STATUS BY AGE BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR THE POPULATION,B16008
B16008_047E,Foreign-born population!!Not a U.S. citizen!!18 years and over!!Speak only English,CITIZENSHIP STATUS BY AGE BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR THE POPULATION,B16008
B16008_053E,Foreign-born population!!Not a U.S. citizen!!18 years and over!!Speak other languages!!Speak English less than very well,CITIZENSHIP STATUS BY AGE BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR THE POPULATION,B16008
B16008_006E,Native population!!5 to 17 years!!Speak Spanish!!Speak English very well,CITIZENSHIP STATUS BY AGE BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR THE POPULATION,B16008
B16008_027E,Foreign-born population!!Naturalized U.S. citizen!!5 to 17 years!!Speak other languages!!Speak English very well,CITIZENSHIP STATUS BY AGE BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR THE POPULATION,B16008
B16008_009E,Native population!!5 to 17 years!!Speak other languages!!Speak English very well,CITIZENSHIP STATUS BY AGE BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR THE POPULATION,B16008
B16008_002E,Native population,CITIZENSHIP STATUS BY AGE BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR THE POPULATION,B16008
B16008_050E,Foreign-born population!!Not a U.S. citizen!!18 years and over!!Speak Spanish!!Speak English less than very well,CITIZENSHIP STATUS BY AGE BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR THE POPULATION,B16008
B16008_032E,Foreign-born population!!Naturalized U.S. citizen!!18 years and over!!Speak Spanish!!Speak English very well,CITIZENSHIP STATUS BY AGE BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR THE POPULATION,B16008
B16008_010E,Native population!!5 to 17 years!!Speak other languages!!Speak English less than very well,CITIZENSHIP STATUS BY AGE BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR THE POPULATION,B16008
B16008_042E,Foreign-born population!!Not a U.S. citizen!!5 to 17 years!!Speak Spanish!!Speak English less than very well,CITIZENSHIP STATUS BY AGE BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR THE POPULATION,B16008
B16008_052E,Foreign-born population!!Not a U.S. citizen!!18 years and over!!Speak other languages!!Speak English very well,CITIZENSHIP STATUS BY AGE BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR THE POPULATION,B16008
B16008_005E,Native population!!5 to 17 years!!Speak Spanish,CITIZENSHIP STATUS BY AGE BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR THE POPULATION,B16008
B16008_041E,Foreign-born population!!Not a U.S. citizen!!5 to 17 years!!Speak Spanish!!Speak English very well,CITIZENSHIP STATUS BY AGE BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR THE POPULATION,B16008
B16008_020E,Foreign-born population!!Naturalized U.S. citizen,CITIZENSHIP STATUS BY AGE BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR THE POPULATION,B16008
B16008_030E,Foreign-born population!!Naturalized U.S. citizen!!18 years and over!!Speak only English,CITIZENSHIP STATUS BY AGE BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR THE POPULATION,B16008
B16008_015E,Native population!!18 years and over!!Speak Spanish!!Speak English less than very well,CITIZENSHIP STATUS BY AGE BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR THE POPULATION,B16008
B16008_044E,Foreign-born population!!Not a U.S. citizen!!5 to 17 years!!Speak other languages!!Speak English very well,CITIZENSHIP STATUS BY AGE BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR THE POPULATION,B16008
B16008_018E,Native population!!18 years and over!!Speak other languages!!Speak English less than very well,CITIZENSHIP STATUS BY AGE BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR THE POPULATION,B16008
B16008_022E,Foreign-born population!!Naturalized U.S. citizen!!5 to 17 years!!Speak only English,CITIZENSHIP STATUS BY AGE BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR THE POPULATION,B16008
B16008_014E,Native population!!18 years and over!!Speak Spanish!!Speak English very well,CITIZENSHIP STATUS BY AGE BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR THE POPULATION,B16008
B16008_013E,Native population!!18 years and over!!Speak Spanish,CITIZENSHIP STATUS BY AGE BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR THE POPULATION,B16008
B16008_029E,Foreign-born population!!Naturalized U.S. citizen!!18 years and over,CITIZENSHIP STATUS BY AGE BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR THE POPULATION,B16008
B16008_025E,Foreign-born population!!Naturalized U.S. citizen!!5 to 17 years!!Speak Spanish!!Speak English less than very well,CITIZENSHIP STATUS BY AGE BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR THE POPULATION,B16008
B16008_021E,Foreign-born population!!Naturalized U.S. citizen!!5 to 17 years,CITIZENSHIP STATUS BY AGE BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR THE POPULATION,B16008
B16008_003E,Native population!!5 to 17 years,CITIZENSHIP STATUS BY AGE BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR THE POPULATION,B16008
B16008_048E,Foreign-born population!!Not a U.S. citizen!!18 years and over!!Speak Spanish,CITIZENSHIP STATUS BY AGE BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR THE POPULATION,B16008
B16008_012E,Native population!!18 years and over!!Speak only English,CITIZENSHIP STATUS BY AGE BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR THE POPULATION,B16008
B16008_045E,Foreign-born population!!Not a U.S. citizen!!5 to 17 years!!Speak other languages!!Speak English less than very well,CITIZENSHIP STATUS BY AGE BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR THE POPULATION,B16008
B16008_035E,Foreign-born population!!Naturalized U.S. citizen!!18 years and over!!Speak other languages!!Speak English very well,CITIZENSHIP STATUS BY AGE BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR THE POPULATION,B16008
B16008_051E,Foreign-born population!!Not a U.S. citizen!!18 years and over!!Speak other languages,CITIZENSHIP STATUS BY AGE BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR THE POPULATION,B16008
B16008_039E,Foreign-born population!!Not a U.S. citizen!!5 to 17 years!!Speak only English,CITIZENSHIP STATUS BY AGE BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR THE POPULATION,B16008
B16008_031E,Foreign-born population!!Naturalized U.S. citizen!!18 years and over!!Speak Spanish,CITIZENSHIP STATUS BY AGE BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR THE POPULATION,B16008
B16008_033E,Foreign-born population!!Naturalized U.S. citizen!!18 years and over!!Speak Spanish!!Speak English less than very well,CITIZENSHIP STATUS BY AGE BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR THE POPULATION,B16008
B16008_024E,Foreign-born population!!Naturalized U.S. citizen!!5 to 17 years!!Speak Spanish!!Speak English very well,CITIZENSHIP STATUS BY AGE BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR THE POPULATION,B16008
B17012_028E,"Income in the past 12 months at or above poverty level!!Other families!!Male householder, no spouse present!!1 or 2 children",POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY HOUSEHOLD TYPE BY NUMBER OF RELATED CHILDREN UND,B17012
B17012_030E,"Income in the past 12 months at or above poverty level!!Other families!!Male householder, no spouse present!!5 or more children",POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY HOUSEHOLD TYPE BY NUMBER OF RELATED CHILDREN UND,B17012
